Nome,λ teórico [Å],λ observado [Å],Δλ [Å],Flux,S/N (aprox)
Não identificada,,5255.0,,0.08003900000000008,0.16546132035644487
Não identificada,,4764.0,,0.07849499999999998,0.16226947289920068
Não identificada,,4463.0,,0.076156,0.15743415476287062
Não identificada,,5460.0,,0.07614299999999996,0.15740728039956473
Não identificada,,4947.0,,0.07541599999999993,0.1559043833131551
Não identificada,,4833.0,,0.07272299999999998,0.15033725559142075
Não identificada,,5124.0,,0.06725799999999993,0.13903968670940098
Não identificada,,4513.0,,0.06515599999999999,0.1346943088887231
Não identificada,,4671.0,,0.06253199999999992,0.12926982201838086
Não identificada,,3321.0,,0.0597700000000001,0.12356005344525439
Não identificada,,4643.0,,0.05856899999999998,0.1210772757275404
Não identificada,,4484.0,,0.05704100000000001,0.11791850440974978
Não identificada,,4306.0,,0.05576899999999996,0.1152889513232119
Não identificada,,4628.0,,0.05489299999999997,0.11347803268814345
Não identificada,,5096.0,,0.05291999999999997,0.10939933124180772
Não identificada,,4792.0,,0.052557999999999994,0.10865098358667673
Não identificada,,4183.0,,0.051170999999999967,0.10578369574781826
