wavelength	flux	var	error
4.570000e+03	2.126514e-19	6.990770e-40	2.644006e-20
4.571000e+03	2.165083e-19	7.039195e-40	2.653148e-20
4.572000e+03	2.378194e-19	7.049690e-40	2.655125e-20
4.573000e+03	2.217940e-19	6.967542e-40	2.639610e-20
4.574000e+03	2.511458e-19	7.006102e-40	2.646904e-20
4.575000e+03	1.948418e-19	6.811607e-40	2.609906e-20
4.576000e+03	2.154023e-19	6.917323e-40	2.630081e-20
4.577000e+03	2.122131e-19	7.372532e-40	2.715241e-20
4.578000e+03	2.122613e-19	9.161492e-40	3.026796e-20
4.579000e+03	2.559611e-19	1.162684e-39	3.409815e-20
4.580000e+03	2.536932e-19	1.223043e-39	3.497203e-20
4.581000e+03	2.676979e-19	1.285563e-39	3.585475e-20
4.582000e+03	2.552674e-19	1.227934e-39	3.504188e-20
4.583000e+03	2.461960e-19	1.267324e-39	3.559950e-20
4.584000e+03	2.216309e-19	1.304306e-39	3.611518e-20
4.585000e+03	1.486828e-19	1.294542e-39	3.597975e-20
4.586000e+03	2.261387e-19	1.328973e-39	3.645508e-20
4.587000e+03	2.288561e-19	1.300579e-39	3.606354e-20
4.588000e+03	2.538234e-19	1.284046e-39	3.583359e-20
4.589000e+03	2.006831e-19	1.171247e-39	3.422348e-20
4.590000e+03	1.680987e-19	1.092136e-39	3.304748e-20
4.591000e+03	1.647752e-19	1.022515e-39	3.197678e-20
4.592000e+03	1.843707e-19	1.011749e-39	3.180800e-20
4.593000e+03	2.110602e-19	1.019937e-39	3.193645e-20
4.594000e+03	2.034015e-19	9.943691e-40	3.153362e-20
4.595000e+03	2.179920e-19	9.818796e-40	3.133496e-20
4.596000e+03	2.436453e-19	9.528633e-40	3.086848e-20
4.597000e+03	2.101542e-19	9.386098e-40	3.063674e-20
4.598000e+03	2.418462e-19	1.009505e-39	3.177271e-20
4.599000e+03	1.993364e-19	1.022224e-39	3.197223e-20
4.600000e+03	1.961047e-19	1.091438e-39	3.303692e-20
4.601000e+03	2.421669e-19	1.209736e-39	3.478126e-20
4.602000e+03	1.951647e-19	1.192418e-39	3.453141e-20
4.603000e+03	2.104682e-19	1.145178e-39	3.384049e-20
4.604000e+03	2.119256e-19	1.079356e-39	3.285356e-20
4.605000e+03	1.825953e-19	1.004928e-39	3.170060e-20
4.606000e+03	2.180522e-19	9.646604e-40	3.105898e-20
4.607000e+03	1.869838e-19	9.548758e-40	3.090107e-20
4.608000e+03	1.907590e-19	9.494352e-40	3.081291e-20
4.609000e+03	1.917849e-19	9.380790e-40	3.062808e-20
4.610000e+03	1.935595e-19	9.600419e-40	3.098454e-20
4.611000e+03	1.704466e-19	1.076798e-39	3.281460e-20
4.612000e+03	2.211882e-19	1.183059e-39	3.439563e-20
4.613000e+03	1.994979e-19	1.056708e-39	3.250705e-20
4.614000e+03	2.254480e-19	7.535348e-40	2.745059e-20
4.615000e+03	2.562231e-19	6.999837e-40	2.645720e-20
4.616000e+03	2.120197e-19	6.590899e-40	2.567275e-20
4.617000e+03	2.174719e-19	6.324343e-40	2.514825e-20
4.618000e+03	2.175009e-19	6.150860e-40	2.480093e-20
4.619000e+03	2.281609e-19	6.042895e-40	2.458230e-20
4.620000e+03	2.125667e-19	5.944660e-40	2.438167e-20
4.621000e+03	1.938060e-19	6.046529e-40	2.458969e-20
4.622000e+03	1.945168e-19	6.188366e-40	2.487643e-20
4.623000e+03	2.189913e-19	6.409721e-40	2.531743e-20
4.624000e+03	2.024419e-19	6.531270e-40	2.555635e-20
4.625000e+03	2.039938e-19	6.590160e-40	2.567131e-20
4.626000e+03	2.141375e-19	6.453533e-40	2.540381e-20
4.627000e+03	2.277152e-19	6.363707e-40	2.522639e-20
4.628000e+03	2.331895e-19	6.212143e-40	2.492417e-20
4.629000e+03	2.229690e-19	6.003230e-40	2.450149e-20
4.630000e+03	2.047835e-19	5.900200e-40	2.429033e-20
4.631000e+03	2.104023e-19	5.937858e-40	2.436772e-20
4.632000e+03	2.272994e-19	5.988797e-40	2.447202e-20
4.633000e+03	2.070299e-19	6.084866e-40	2.466752e-20
4.634000e+03	2.054473e-19	6.143532e-40	2.478615e-20
4.635000e+03	2.002669e-19	6.165553e-40	2.483053e-20
4.636000e+03	1.978961e-19	6.199882e-40	2.489956e-20
4.637000e+03	2.037337e-19	6.185357e-40	2.487038e-20
4.638000e+03	2.346411e-19	6.163904e-40	2.482721e-20
4.639000e+03	2.186244e-19	5.997291e-40	2.448937e-20
4.640000e+03	2.291660e-19	5.877512e-40	2.424358e-20
4.641000e+03	2.271283e-19	5.799709e-40	2.408258e-20
