wavelength,flux_obs,flux_syn,flux_residual
3588.0,0.987015,0.930197,0.056817999999999924
3589.0,0.954384,0.931648,0.02273599999999998
3590.0,1.1978,0.933385,0.26441499999999996
3591.0,0.987914,0.935219,0.052694999999999936
3592.0,1.1075,0.937126,0.17037399999999991
3593.0,1.07097,0.938996,0.13197399999999992
3594.0,0.689031,0.940791,-0.2517600000000001
3595.0,0.828014,0.942377,-0.11436299999999999
3596.0,0.8028,0.943699,-0.140899
3597.0,0.867078,0.944736,-0.077658
3598.0,0.888917,0.945426,-0.05650900000000003
3599.0,0.85455,0.945775,-0.091225
3600.0,1.05851,0.945722,0.11278800000000011
3601.0,1.2616,0.945334,0.31626600000000005
3602.0,1.09167,0.944664,0.14700599999999997
3603.0,0.956688,0.943789,0.012898999999999994
3604.0,0.990728,0.942943,0.04778500000000008
3605.0,1.11279,0.942139,0.170651
3606.0,1.00219,0.941352,0.06083799999999995
3607.0,0.871879,0.940674,-0.06879500000000005
3608.0,0.897705,0.940173,-0.04246800000000006
3609.0,0.985335,0.939823,0.045512
3610.0,1.03523,0.939561,0.09566900000000012
3611.0,1.04064,0.93955,0.10109000000000001
3612.0,1.11599,0.939762,0.17622800000000005
3613.0,1.13136,0.940155,0.19120499999999996
3614.0,0.865366,0.940861,-0.07549499999999998
3615.0,0.987357,0.941883,0.045474000000000014
3616.0,0.848054,0.943043,-0.09498899999999999
3617.0,0.868742,0.944279,-0.07553699999999997
3618.0,0.758992,0.945669,-0.18667699999999998
3619.0,0.722717,0.947169,-0.22445199999999998
3620.0,0.911304,0.948765,-0.03746099999999997
3621.0,0.899333,0.950415,-0.05108199999999996
3622.0,0.936256,0.951868,-0.01561200000000007
3623.0,0.918995,0.952955,-0.03395999999999999
3624.0,1.0604,0.953689,0.106711
3625.0,0.932454,0.954099,-0.021645000000000025
3626.0,0.839951,0.954138,-0.11418700000000004
3627.0,0.990777,0.953697,0.03708
3628.0,0.994108,0.952679,0.04142899999999994
3629.0,0.905773,0.95121,-0.04543699999999995
3630.0,0.890031,0.949537,-0.05950599999999995
3631.0,0.952811,0.947764,0.005046999999999913
3632.0,0.837472,0.945996,-0.10852399999999995
3633.0,0.88335,0.944398,-0.06104799999999999
3634.0,0.809644,0.942825,-0.133181
3635.0,0.864671,0.941044,-0.07637300000000002
3636.0,1.01122,0.939265,0.07195499999999999
3637.0,0.97022,0.937745,0.03247499999999992
3638.0,0.992066,0.936387,0.055679000000000034
3639.0,1.1126,0.935081,0.17751899999999998
3640.0,0.919513,0.933813,-0.01429999999999998
3641.0,0.886402,0.932475,-0.04607300000000003
3642.0,1.04709,0.931001,0.11608900000000011
3643.0,1.1826,0.929605,0.2529950000000001
3644.0,1.13691,0.928523,0.2083870000000001
3645.0,0.845473,0.927763,-0.08228999999999997
3646.0,0.96392,0.927258,0.03666199999999997
3647.0,0.909833,0.92704,-0.017206999999999972
3648.0,0.877617,0.927112,-0.04949500000000007
3649.0,0.959601,0.927399,0.032202000000000064
3650.0,1.17399,0.927855,0.2461350000000001
3651.0,1.05629,0.928503,0.12778699999999998
3652.0,0.86074,0.9292,-0.06846000000000008
3653.0,0.679078,0.929797,-0.250719
3654.0,0.82389,0.930301,-0.10641100000000003
3655.0,0.935491,0.930645,0.004846000000000017
3656.0,0.771604,0.93076,-0.15915600000000008
3657.0,0.935797,0.930608,0.005188999999999999
3658.0,0.9336,0.930203,0.0033969999999999834
3659.0,0.921988,0.929516,-0.007527999999999979
3660.0,0.89572,0.92858,-0.03286
3661.0,0.84295,0.92751,-0.08455999999999997
3662.0,0.899001,0.926399,-0.027397999999999922
3663.0,0.843229,0.925252,-0.08202299999999996
3664.0,0.652391,0.924033,-0.27164199999999994
3665.0,0.848649,0.922783,-0.07413400000000003
3666.0,0.955746,0.921501,0.03424499999999997
3667.0,0.73982,0.920232,-0.18041200000000002
3668.0,0.651865,0.919011,-0.267146
3669.0,0.609719,0.917884,-0.308165
3670.0,0.775773,0.916672,-0.140899
3671.0,1.03196,0.915398,0.11656199999999994
3672.0,0.926672,0.914083,0.012589000000000072
3673.0,0.739331,0.912711,-0.1733800000000001
3674.0,0.833249,0.911314,-0.07806499999999994
3675.0,0.880984,0.909949,-0.02896500000000002
3676.0,0.873531,0.908518,-0.0349870000000001
3677.0,0.834938,0.907028,-0.07208999999999999
3678.0,0.945412,0.905659,0.03975300000000004
3679.0,0.8869,0.904427,-0.01752699999999996
3680.0,0.979001,0.903417,0.07558399999999998
3681.0,0.99041,0.902677,0.08773300000000006
3682.0,0.819519,0.902206,-0.08268699999999995
3683.0,0.777376,0.901812,-0.12443599999999999
3684.0,1.10501,0.901576,0.203434
3685.0,0.853572,0.901584,-0.048012000000000055
3686.0,0.632046,0.901889,-0.26984300000000006
3687.0,0.817012,0.902526,-0.08551400000000009
3688.0,0.753812,0.903397,-0.14958499999999997
3689.0,0.965792,0.904171,0.06162100000000004
3690.0,0.641617,0.904678,-0.263061
3691.0,0.872075,0.905089,-0.03301399999999999
3692.0,0.917939,0.905547,0.012391999999999959
3693.0,0.78208,0.906004,-0.12392400000000003
3694.0,1.03635,0.906099,0.13025100000000012
3695.0,0.960519,0.905512,0.05500700000000003
3696.0,0.808871,0.904123,-0.095252
3697.0,0.865501,0.902285,-0.03678400000000004
3698.0,0.804858,0.900326,-0.095468
3699.0,0.824527,0.898392,-0.07386499999999996
3700.0,0.669384,0.896115,-0.22673100000000002
3701.0,0.668379,0.893245,-0.224866
3702.0,0.820408,0.889904,-0.069496
3703.0,0.668256,0.88663,-0.21837400000000007
3704.0,0.701478,0.883975,-0.1824969999999999
3705.0,0.756967,0.882298,-0.12533100000000008
3706.0,0.641101,0.881529,-0.24042799999999998
3707.0,0.612034,0.881325,-0.26929100000000006
3708.0,0.795031,0.881572,-0.08654099999999998
3709.0,0.900294,0.88209,0.018203999999999998
3710.0,0.76248,0.882932,-0.120452
3711.0,0.905075,0.884158,0.020916999999999963
3712.0,1.07814,0.885576,0.19256400000000007
3713.0,0.990842,0.886704,0.10413799999999995
3714.0,1.06152,0.887441,0.17407899999999998
3715.0,0.926782,0.887525,0.039256999999999986
3716.0,0.862623,0.886979,-0.024355999999999933
3717.0,0.848479,0.886253,-0.037773999999999974
3718.0,0.953503,0.885441,0.06806199999999996
3719.0,0.894563,0.884467,0.010095999999999994
3720.0,1.04982,0.883919,0.16590099999999997
3721.0,1.28835,0.88421,0.40414000000000005
3722.0,1.83165,0.885323,0.946327
3723.0,2.96202,0.887195,2.0748249999999997
3724.0,4.68798,0.889177,3.7988029999999995
3725.0,6.23309,0.89039,5.3427
3726.0,7.67769,0.890659,6.787031
3727.0,8.14696,0.890091,7.256869
3728.0,7.03503,0.88868,6.14635
3729.0,5.61164,0.886821,4.724819
3730.0,3.46218,0.884723,2.577457
