wavelength	flux	var	error
4.751000e+03	9.184253e+02	1.236776e+03	3.516783e+01
4.752000e+03	9.310527e+02	1.240038e+03	3.521417e+01
4.753000e+03	9.623713e+02	1.250705e+03	3.536530e+01
4.754000e+03	9.213046e+02	1.235396e+03	3.514821e+01
4.755000e+03	9.469114e+02	1.330215e+03	3.647212e+01
4.756000e+03	9.651370e+02	1.499685e+03	3.872577e+01
4.757000e+03	9.759203e+02	1.662668e+03	4.077583e+01
4.758000e+03	9.351281e+02	1.804800e+03	4.248294e+01
4.759000e+03	9.219436e+02	1.900373e+03	4.359327e+01
4.760000e+03	9.190055e+02	1.799735e+03	4.242329e+01
4.761000e+03	9.295112e+02	1.636683e+03	4.045594e+01
4.762000e+03	8.951425e+02	1.485826e+03	3.854642e+01
4.763000e+03	8.950350e+02	1.326301e+03	3.641841e+01
4.764000e+03	9.283654e+02	1.268077e+03	3.561007e+01
4.765000e+03	9.243462e+02	1.263505e+03	3.554581e+01
4.766000e+03	9.286040e+02	1.260718e+03	3.550658e+01
4.767000e+03	9.432838e+02	1.261925e+03	3.552358e+01
4.768000e+03	9.212775e+02	1.253121e+03	3.539945e+01
4.769000e+03	9.393056e+02	1.260848e+03	3.550842e+01
4.770000e+03	9.436653e+02	1.190214e+03	3.449947e+01
4.771000e+03	9.468460e+02	9.082926e+02	3.013789e+01
4.772000e+03	9.236883e+02	7.971605e+02	2.823403e+01
4.773000e+03	9.668783e+02	8.160050e+02	2.856580e+01
4.774000e+03	9.679947e+02	8.161513e+02	2.856836e+01
4.775000e+03	9.841887e+02	8.209958e+02	2.865302e+01
4.776000e+03	9.792187e+02	8.193442e+02	2.862419e+01
4.777000e+03	9.824744e+02	8.151871e+02	2.855148e+01
4.778000e+03	9.512035e+02	8.044223e+02	2.836234e+01
4.779000e+03	9.321550e+02	7.989007e+02	2.826483e+01
4.780000e+03	9.545725e+02	8.047083e+02	2.836738e+01
4.781000e+03	9.195223e+02	7.974002e+02	2.823828e+01
4.782000e+03	9.480548e+02	8.028605e+02	2.833479e+01
4.783000e+03	9.371027e+02	7.977099e+02	2.824376e+01
4.784000e+03	9.423339e+02	8.022884e+02	2.832470e+01
4.785000e+03	9.340386e+02	8.031396e+02	2.833972e+01
4.786000e+03	9.328292e+02	8.031646e+02	2.834016e+01
4.787000e+03	9.366938e+02	8.015652e+02	2.831193e+01
4.788000e+03	9.510881e+02	8.291972e+02	2.879578e+01
4.789000e+03	9.483469e+02	8.054811e+02	2.838100e+01
4.790000e+03	9.301291e+02	7.998523e+02	2.828166e+01
4.791000e+03	9.257719e+02	8.041926e+02	2.835829e+01
4.792000e+03	1.003920e+03	8.553134e+02	2.924574e+01
4.793000e+03	9.825741e+02	8.588241e+02	2.930570e+01
4.794000e+03	1.003109e+03	8.377071e+02	2.894317e+01
4.795000e+03	9.772391e+02	8.159288e+02	2.856447e+01
4.796000e+03	9.487296e+02	8.074581e+02	2.841581e+01
4.797000e+03	9.131751e+02	7.981210e+02	2.825103e+01
4.798000e+03	9.357033e+02	8.064330e+02	2.839776e+01
4.799000e+03	9.627949e+02	8.122053e+02	2.849922e+01
4.800000e+03	9.782840e+02	8.120670e+02	2.849679e+01
4.801000e+03	9.162502e+02	7.933085e+02	2.816573e+01
4.802000e+03	9.499292e+02	8.059848e+02	2.838987e+01
4.803000e+03	9.257691e+02	7.978867e+02	2.824689e+01
4.804000e+03	9.763206e+02	1.119067e+03	3.345246e+01
4.805000e+03	9.556751e+02	1.136065e+03	3.370556e+01
4.806000e+03	9.688852e+02	1.143573e+03	3.381676e+01
4.807000e+03	9.810765e+02	1.146664e+03	3.386243e+01
4.808000e+03	9.673741e+02	1.144746e+03	3.383410e+01
4.809000e+03	9.426353e+02	1.132772e+03	3.365668e+01
4.810000e+03	9.366313e+02	1.052549e+03	3.244301e+01
4.811000e+03	9.288503e+02	8.447914e+02	2.906530e+01
4.812000e+03	9.113218e+02	7.950810e+02	2.819718e+01
4.813000e+03	9.447192e+02	8.092158e+02	2.844672e+01
4.814000e+03	9.454095e+02	8.096473e+02	2.845430e+01
4.815000e+03	9.486334e+02	8.249956e+02	2.872274e+01
4.816000e+03	9.514371e+02	8.203885e+02	2.864243e+01
4.817000e+03	9.451417e+02	8.170722e+02	2.858448e+01
4.818000e+03	9.675768e+02	8.458805e+02	2.908402e+01
4.819000e+03	9.492767e+02	8.340628e+02	2.888015e+01
4.820000e+03	9.517073e+02	8.217588e+02	2.866634e+01
4.821000e+03	9.461385e+02	8.327865e+02	2.885804e+01
4.822000e+03	9.273124e+02	8.265611e+02	2.874998e+01
4.823000e+03	9.749566e+02	8.598747e+02	2.932362e+01
4.824000e+03	9.629213e+02	8.522195e+02	2.919280e+01
4.825000e+03	9.668875e+02	8.819822e+02	2.969819e+01
4.826000e+03	9.553261e+02	8.838393e+02	2.972944e+01
4.827000e+03	9.657967e+02	8.849282e+02	2.974774e+01
4.828000e+03	9.274366e+02	8.756732e+02	2.959178e+01
4.829000e+03	9.491314e+02	8.743930e+02	2.957014e+01
4.830000e+03	9.195275e+02	8.459371e+02	2.908500e+01
4.831000e+03	9.157950e+02	8.303533e+02	2.881585e+01
4.832000e+03	9.391842e+02	8.451994e+02	2.907231e+01
4.833000e+03	9.345722e+02	8.567092e+02	2.926960e+01
4.834000e+03	9.397110e+02	8.804708e+02	2.967273e+01
4.835000e+03	9.555341e+02	9.064699e+02	3.010764e+01
4.836000e+03	9.355338e+02	9.032696e+02	3.005444e+01
4.837000e+03	9.179975e+02	8.750046e+02	2.958048e+01
4.838000e+03	9.256408e+02	8.598215e+02	2.932271e+01
4.839000e+03	9.526148e+02	8.551318e+02	2.924264e+01
4.840000e+03	9.261243e+02	8.174210e+02	2.859058e+01
4.841000e+03	9.266729e+02	8.161339e+02	2.856806e+01
4.842000e+03	9.317093e+02	8.182666e+02	2.860536e+01
4.843000e+03	9.209878e+02	8.190971e+02	2.861987e+01
4.844000e+03	9.280503e+02	8.294693e+02	2.880051e+01
4.845000e+03	9.303642e+02	8.434393e+02	2.904203e+01
4.846000e+03	8.866171e+02	8.986798e+02	2.997799e+01
4.847000e+03	8.935041e+02	9.598168e+02	3.098091e+01
